Episodio,Reward,Ghosts,Points,Big Points,Steps
1,160.0,5,123.0,4,1136
2,161.0,5,124.0,4,1072
3,159.0,5,122.0,4,1188
4,157.0,4,125.0,4,1216
5,152.0,4,120.0,4,1046
6,322.0,11,243.0,8,2290
7,163.0,6,121.0,4,1134
8,153.0,4,121.0,4,1318
9,167.0,6,125.0,4,1346
10,154.0,4,122.0,4,1300
11,159.0,5,122.0,4,1046
12,153.0,4,121.0,4,1110
13,160.0,5,123.0,4,1254
14,161.0,5,124.0,4,1196
15,166.0,6,124.0,4,1406
16,154.0,4,122.0,4,1074
17,159.0,5,122.0,4,1074
18,160.0,5,123.0,4,1166
19,153.0,4,121.0,4,1302
20,158.0,5,121.0,4,1054
21,160.0,5,123.0,4,1116
22,155.0,4,123.0,4,1128
23,164.0,6,122.0,4,1264
24,167.0,6,125.0,4,1478
25,165.0,6,123.0,4,1188
26,151.0,4,119.0,4,998
27,160.0,5,123.0,4,1170
28,160.0,5,123.0,4,1296
29,115.0,1,98.0,4,984
30,160.0,5,123.0,4,1110
31,160.0,5,123.0,4,1244
32,162.0,5,125.0,4,1232
33,158.0,5,121.0,4,1104
34,163.0,6,121.0,4,1166
35,167.0,6,125.0,4,1258
36,164.0,6,122.0,4,1146
37,166.0,6,124.0,4,1272
38,151.0,4,119.0,4,990
39,162.0,5,125.0,4,1284
40,160.0,5,123.0,4,1170
41,161.0,5,124.0,4,1236
42,164.0,6,122.0,4,1102
43,156.0,4,124.0,4,1078
44,160.0,5,123.0,4,1136
45,161.0,5,124.0,4,1276
46,161.0,5,124.0,4,1096
47,165.0,6,123.0,4,1198
48,152.0,4,120.0,4,1066
49,161.0,5,124.0,4,1200
50,158.0,5,121.0,4,1076
51,153.0,4,121.0,4,1054
52,161.0,5,124.0,4,1146
53,172.0,8,120.0,4,1208
54,158.0,5,121.0,4,1112
55,157.0,5,120.0,4,1048
56,159.0,5,122.0,4,1108
57,162.0,5,125.0,4,1072
58,159.0,5,122.0,4,1084
59,156.0,4,124.0,4,1048
60,154.0,4,122.0,4,1054
61,164.0,6,122.0,4,1106
62,161.0,5,124.0,4,1098
63,160.0,5,123.0,4,1264
64,161.0,5,124.0,4,1340
65,160.0,5,123.0,4,1208
66,156.0,5,119.0,4,1030
67,159.0,5,122.0,4,1264
68,161.0,5,124.0,4,1302
69,161.0,5,124.0,4,1236
70,155.0,4,123.0,4,1044
71,154.0,4,122.0,4,1150
72,137.0,1,120.0,4,1214
73,160.0,5,123.0,4,1240
74,160.0,5,123.0,4,1304
75,164.0,6,122.0,4,1018
76,165.0,6,123.0,4,1060
77,159.0,5,122.0,4,1064
78,160.0,5,123.0,4,1118
79,160.0,5,123.0,4,1166
80,156.0,4,124.0,4,1056
81,137.0,3,110.0,4,1048
82,166.0,6,124.0,4,1258
83,156.0,4,124.0,4,1254
84,153.0,4,121.0,4,1404
85,160.0,5,123.0,4,1494
86,152.0,4,120.0,4,932
87,316.0,10,242.0,8,1942
88,158.0,5,121.0,4,1140
89,144.0,3,117.0,4,1586
90,160.0,5,123.0,4,1160
91,158.0,5,121.0,4,1204
92,154.0,4,122.0,4,1220
93,166.0,6,124.0,4,1294
94,160.0,5,123.0,4,1170
95,150.0,4,118.0,4,1026
96,158.0,5,121.0,4,1010
97,162.0,5,125.0,4,1232
98,156.0,4,124.0,4,1312
99,164.0,6,122.0,4,1274
100,160.0,5,123.0,4,1212
