Episodio,Reward,Ghosts,Points,Big Points,Steps,Ganó
1,149.0,3,122.0,4,932,0
2,156.0,4,124.0,4,1292,0
3,152.0,3,125.0,4,1134,0
4,149.0,3,122.0,4,1568,0
5,150.0,3,123.0,4,994,0
6,151.0,3,124.0,4,1246,0
7,156.0,4,124.0,4,1294,0
8,156.0,4,124.0,4,1392,0
9,152.0,4,120.0,4,970,0
10,151.0,3,124.0,4,1082,0
11,149.0,3,122.0,4,1228,0
12,155.0,4,123.0,4,1062,0
13,149.0,3,122.0,4,956,0
14,151.0,3,124.0,4,1448,0
15,151.0,3,124.0,4,1042,0
16,156.0,4,124.0,4,1214,0
17,151.0,3,124.0,4,1234,0
18,148.0,3,121.0,4,998,0
19,154.0,4,122.0,4,1326,0
20,156.0,4,124.0,4,1474,0
21,151.0,3,124.0,4,1406,0
22,156.0,4,124.0,4,1478,0
23,151.0,3,124.0,4,1404,0
24,156.0,4,124.0,4,1360,0
25,156.0,4,124.0,4,1586,0
26,156.0,4,124.0,4,1426,0
27,156.0,4,124.0,4,1302,0
28,156.0,4,124.0,4,1156,0
29,151.0,3,124.0,4,1738,0
30,150.0,3,123.0,4,972,0
31,151.0,3,124.0,4,1330,0
32,151.0,3,124.0,4,1250,0
33,156.0,4,124.0,4,1028,0
34,151.0,3,124.0,4,1436,0
35,287.0,5,238.0,8,1704,1
36,151.0,3,124.0,4,1342,0
37,151.0,3,124.0,4,1606,0
38,156.0,4,124.0,4,1258,0
39,151.0,3,124.0,4,1208,0
40,151.0,3,124.0,4,1424,0
41,156.0,4,124.0,4,1322,0
42,151.0,3,124.0,4,1134,0
43,151.0,3,124.0,4,1554,0
44,150.0,3,123.0,4,1260,0
45,152.0,3,125.0,4,1308,0
46,151.0,3,124.0,4,1430,0
47,152.0,3,125.0,4,1532,0
48,156.0,4,124.0,4,1348,0
49,151.0,3,124.0,4,1502,0
50,151.0,3,124.0,4,1140,0
51,151.0,3,124.0,4,1236,0
52,151.0,3,124.0,4,1444,0
53,151.0,3,124.0,4,1138,0
54,156.0,4,124.0,4,1432,0
55,151.0,3,124.0,4,1226,0
56,151.0,3,124.0,4,1124,0
57,151.0,3,124.0,4,1198,0
58,151.0,3,124.0,4,1482,0
59,155.0,4,123.0,4,1240,0
60,151.0,3,124.0,4,1328,0
61,151.0,3,124.0,4,1060,0
62,156.0,4,124.0,4,1030,0
63,151.0,3,124.0,4,1326,0
64,151.0,3,124.0,4,1280,0
65,277.0,4,236.0,7,1874,1
66,156.0,4,124.0,4,1092,0
67,151.0,3,124.0,4,1222,0
68,151.0,3,124.0,4,1244,0
69,150.0,3,123.0,4,906,0
70,307.0,7,248.0,8,2020,1
71,156.0,4,124.0,4,1398,0
72,150.0,3,123.0,4,1140,0
73,156.0,4,124.0,4,1462,0
74,151.0,3,124.0,4,1234,0
75,156.0,4,124.0,4,1610,0
76,151.0,3,124.0,4,1618,0
77,151.0,3,124.0,4,1236,0
78,150.0,3,123.0,4,1116,0
79,151.0,3,124.0,4,1266,0
80,151.0,3,124.0,4,1012,0
81,151.0,3,124.0,4,1230,0
82,151.0,3,124.0,4,1038,0
83,156.0,4,124.0,4,1384,0
84,151.0,3,124.0,4,1240,0
85,151.0,3,124.0,4,1406,0
86,151.0,3,124.0,4,1364,0
87,151.0,3,124.0,4,1434,0
88,151.0,3,124.0,4,1318,0
89,150.0,3,123.0,4,1066,0
90,156.0,4,124.0,4,1408,0
91,156.0,4,124.0,4,1402,0
92,156.0,4,124.0,4,1138,0
93,150.0,3,123.0,4,1192,0
94,156.0,4,124.0,4,1510,0
95,153.0,4,121.0,4,964,0
96,156.0,4,124.0,4,1468,0
97,151.0,3,124.0,4,1576,0
98,151.0,3,124.0,4,1060,0
99,155.0,4,123.0,4,1856,0
100,151.0,3,124.0,4,1400,0
