Episodio,Reward,Ghosts,Points,Big Points,Steps
1,20.0,0,20.0,0,396
2,23.0,0,23.0,0,370
3,12.0,0,12.0,0,310
4,26.0,0,26.0,0,420
5,30.0,0,30.0,0,754
6,43.0,0,43.0,0,846
7,14.0,0,14.0,0,318
8,24.0,0,24.0,0,376
9,20.0,0,20.0,0,324
10,34.0,0,34.0,0,454
11,19.0,0,19.0,0,380
12,52.0,0,52.0,0,564
13,28.0,0,28.0,0,724
14,12.0,0,12.0,0,310
15,29.0,0,29.0,0,420
16,23.0,0,23.0,0,378
17,28.0,0,28.0,0,530
18,18.0,0,18.0,0,680
19,59.0,0,59.0,0,814
20,13.0,0,13.0,0,328
21,31.0,0,31.0,0,372
22,31.0,0,31.0,0,502
23,40.0,0,40.0,0,482
24,19.0,0,19.0,0,372
25,25.0,0,25.0,0,440
26,23.0,0,23.0,0,432
27,18.0,0,18.0,0,726
28,58.0,1,50.0,1,840
29,31.0,0,31.0,0,432
30,20.0,0,20.0,0,384
31,28.0,0,28.0,0,468
32,11.0,0,11.0,0,338
33,25.0,0,25.0,0,948
34,41.0,0,41.0,0,980
35,14.0,0,14.0,0,366
36,21.0,0,21.0,0,358
37,24.0,0,24.0,0,358
38,27.0,0,27.0,0,406
39,25.0,0,25.0,0,1022
40,34.0,0,34.0,0,486
41,21.0,0,21.0,0,410
42,14.0,0,14.0,0,306
43,48.0,0,48.0,0,1046
44,30.0,0,30.0,0,404
45,56.0,1,48.0,1,582
46,20.0,0,20.0,0,408
47,41.0,0,41.0,0,506
48,29.0,0,29.0,0,728
49,37.0,0,37.0,0,786
50,23.0,0,23.0,0,462
51,12.0,0,12.0,0,356
52,13.0,0,13.0,0,348
53,23.0,0,23.0,0,412
54,37.0,0,37.0,0,424
55,47.0,0,47.0,0,710
56,28.0,0,28.0,0,426
57,29.0,0,29.0,0,456
58,28.0,0,28.0,0,1078
59,24.0,0,24.0,0,452
60,26.0,0,26.0,0,432
61,23.0,0,23.0,0,1030
62,26.0,0,26.0,0,420
63,22.0,0,22.0,0,346
64,34.0,0,34.0,0,452
65,11.0,0,11.0,0,318
66,21.0,0,21.0,0,418
67,25.0,0,25.0,0,846
68,12.0,0,12.0,0,304
69,25.0,0,25.0,0,620
70,17.0,0,17.0,0,374
71,30.0,0,30.0,0,626
72,29.0,0,29.0,0,460
73,36.0,0,36.0,0,526
74,15.0,0,15.0,0,350
75,39.0,0,39.0,0,518
76,13.0,0,13.0,0,318
77,39.0,0,39.0,0,562
78,42.0,0,42.0,0,478
79,41.0,0,41.0,0,612
80,24.0,0,24.0,0,370
81,29.0,0,29.0,0,404
82,22.0,0,22.0,0,382
83,11.0,0,11.0,0,414
84,26.0,0,26.0,0,474
85,37.0,0,37.0,0,740
86,24.0,0,24.0,0,420
87,21.0,0,21.0,0,420
88,15.0,0,15.0,0,370
89,6.0,0,6.0,0,280
90,31.0,0,31.0,0,502
91,7.0,0,7.0,0,278
92,27.0,0,27.0,0,458
93,18.0,0,18.0,0,326
94,46.0,0,46.0,0,510
95,18.0,0,18.0,0,330
96,36.0,0,36.0,0,932
97,13.0,0,13.0,0,326
98,19.0,0,19.0,0,402
99,9.0,0,9.0,0,314
100,19.0,0,19.0,0,350
