Episodio,Reward,Ghosts,Points,Big Points,Steps
1,43.0,0,43.0,0,714
2,34.0,0,34.0,0,738
3,44.0,0,44.0,0,2602
4,43.0,0,43.0,0,2422
5,27.0,0,27.0,0,752
6,25.0,0,25.0,0,686
7,43.0,0,40.0,1,1454
8,54.0,0,54.0,0,1398
9,43.0,0,43.0,0,2486
10,66.0,0,63.0,1,1302
11,16.0,0,16.0,0,394
12,40.0,0,40.0,0,906
13,72.0,0,72.0,0,1024
14,59.0,0,59.0,0,1106
15,29.0,0,29.0,0,570
16,43.0,0,43.0,0,1484
17,15.0,0,15.0,0,2412
18,61.0,0,58.0,1,2804
19,29.0,0,29.0,0,622
20,41.0,0,41.0,0,2272
21,47.0,0,47.0,0,1462
22,31.0,0,31.0,0,1900
23,27.0,0,27.0,0,968
24,70.0,0,70.0,0,1200
25,35.0,0,35.0,0,1112
26,52.0,0,52.0,0,4556
27,34.0,0,34.0,0,3026
28,59.0,0,59.0,0,774
29,53.0,0,53.0,0,1300
30,63.0,0,60.0,1,974
31,11.0,0,11.0,0,332
32,35.0,0,35.0,0,1138
33,60.0,0,60.0,0,4706
34,53.0,0,53.0,0,1036
35,54.0,0,51.0,1,1114
36,51.0,0,51.0,0,700
37,19.0,0,19.0,0,390
38,35.0,0,35.0,0,1680
39,59.0,0,56.0,1,4924
40,42.0,0,42.0,0,3164
41,34.0,0,34.0,0,1212
42,55.0,0,55.0,0,1020
43,26.0,0,26.0,0,1792
44,52.0,0,52.0,0,3430
45,69.0,0,69.0,0,4576
46,45.0,0,45.0,0,2722
47,27.0,0,27.0,0,1128
48,50.0,0,47.0,1,2772
49,40.0,0,40.0,0,2802
50,54.0,0,54.0,0,1120
51,57.0,0,57.0,0,1304
52,14.0,0,14.0,0,334
53,26.0,0,26.0,0,566
54,49.0,0,46.0,1,1510
55,12.0,0,12.0,0,338
56,47.0,0,47.0,0,3550
57,40.0,0,40.0,0,1308
58,35.0,0,35.0,0,1168
59,37.0,0,37.0,0,1776
60,23.0,0,23.0,0,1110
61,5.0,0,5.0,0,310
62,60.0,0,60.0,0,1452
63,47.0,0,47.0,0,3706
64,38.0,0,35.0,1,1262
65,11.0,0,11.0,0,328
66,57.0,0,57.0,0,2126
67,36.0,0,36.0,0,1456
68,35.0,0,35.0,0,692
69,39.0,0,39.0,0,5522
70,52.0,0,52.0,0,4418
71,51.0,0,51.0,0,1630
72,36.0,0,36.0,0,486
73,60.0,0,60.0,0,3042
74,37.0,0,34.0,1,1011
75,60.0,0,57.0,1,1792
76,10.0,0,10.0,0,536
77,42.0,0,39.0,1,3306
78,39.0,0,39.0,0,2588
79,41.0,0,41.0,0,774
80,47.0,0,47.0,0,3694
81,48.0,0,48.0,0,4134
82,40.0,0,40.0,0,668
83,32.0,0,32.0,0,3472
84,46.0,0,46.0,0,768
85,46.0,0,46.0,0,1064
86,71.0,0,71.0,0,1162
87,43.0,0,43.0,0,7272
88,65.0,0,65.0,0,1346
89,47.0,0,47.0,0,1394
90,53.0,0,53.0,0,3284
91,36.0,0,36.0,0,970
92,31.0,0,31.0,0,1050
93,41.0,0,41.0,0,1238
94,46.0,0,46.0,0,3776
95,40.0,0,40.0,0,1662
96,64.0,0,64.0,0,4982
97,59.0,0,59.0,0,818
98,35.0,0,35.0,0,4826
99,52.0,0,52.0,0,1928
100,45.0,0,42.0,1,3050
