Episodio,Reward,Ghosts,Points,Big Points,Steps
1,25.0,0,25.0,0,396
2,23.0,0,23.0,0,586
3,24.0,0,24.0,0,436
4,25.0,0,25.0,0,748
5,7.0,0,7.0,0,318
6,10.0,0,10.0,0,368
7,41.0,0,41.0,0,568
8,38.0,0,38.0,0,646
9,17.0,0,17.0,0,398
10,29.0,0,29.0,0,572
11,27.0,0,27.0,0,504
12,16.0,0,16.0,0,538
13,14.0,0,14.0,0,444
14,56.0,0,56.0,0,752
15,16.0,0,16.0,0,380
16,15.0,0,15.0,0,382
17,19.0,0,19.0,0,372
18,25.0,0,25.0,0,500
19,47.0,0,47.0,0,532
20,16.0,0,16.0,0,366
21,25.0,0,25.0,0,514
22,26.0,0,26.0,0,492
23,15.0,0,15.0,0,358
24,15.0,0,15.0,0,378
25,29.0,0,29.0,0,538
26,19.0,0,19.0,0,412
27,4.0,0,4.0,0,272
28,29.0,0,29.0,0,514
29,22.0,0,22.0,0,546
30,18.0,0,18.0,0,794
31,20.0,0,20.0,0,370
32,32.0,0,32.0,0,526
33,32.0,0,32.0,0,482
34,8.0,0,8.0,0,314
35,10.0,0,10.0,0,338
36,27.0,0,27.0,0,592
37,14.0,0,14.0,0,406
38,50.0,0,50.0,0,690
39,19.0,0,19.0,0,452
40,13.0,0,13.0,0,404
41,42.0,0,42.0,0,572
42,53.0,0,53.0,0,648
43,30.0,0,30.0,0,534
44,19.0,0,19.0,0,502
45,23.0,0,23.0,0,388
46,6.0,0,6.0,0,348
47,40.0,0,40.0,0,532
48,12.0,0,12.0,0,362
49,10.0,0,10.0,0,364
50,23.0,0,23.0,0,446
51,13.0,0,13.0,0,374
52,31.0,0,31.0,0,560
53,54.0,0,54.0,0,802
54,32.0,0,32.0,0,1166
55,13.0,0,13.0,0,434
56,42.0,0,42.0,0,738
57,16.0,0,16.0,0,476
58,37.0,0,37.0,0,544
59,57.0,0,57.0,0,864
60,39.0,0,39.0,0,712
61,25.0,0,25.0,0,474
62,33.0,0,33.0,0,566
63,7.0,0,7.0,0,322
64,6.0,0,6.0,0,320
65,26.0,0,26.0,0,586
66,40.0,0,40.0,0,696
67,20.0,0,20.0,0,418
68,15.0,0,15.0,0,392
69,4.0,0,4.0,0,302
70,40.0,0,40.0,0,904
71,19.0,0,19.0,0,412
72,17.0,0,17.0,0,462
73,22.0,0,22.0,0,490
74,13.0,0,13.0,0,460
75,34.0,0,34.0,0,558
76,18.0,0,18.0,0,422
77,37.0,0,37.0,0,548
78,16.0,0,16.0,0,398
79,5.0,0,5.0,0,320
80,42.0,0,42.0,0,864
81,24.0,0,24.0,0,512
82,17.0,0,17.0,0,400
83,39.0,0,39.0,0,582
84,24.0,0,24.0,0,492
85,17.0,0,17.0,0,396
86,30.0,0,30.0,0,580
87,39.0,0,39.0,0,464
88,21.0,0,21.0,0,522
89,25.0,0,25.0,0,536
90,29.0,0,29.0,0,540
91,11.0,0,11.0,0,390
92,34.0,0,34.0,0,1306
93,22.0,0,22.0,0,420
94,20.0,0,20.0,0,726
95,27.0,0,27.0,0,496
96,17.0,0,17.0,0,432
97,19.0,0,19.0,0,436
98,22.0,0,22.0,0,438
99,38.0,0,38.0,0,524
100,26.0,0,26.0,0,836
