state,action_1,action_2,action_3,action_4
"(1, 2, 2, 1)",194.963,199.465,199.742,195.062
"(2, 0, 1, 1)",192.456,179.905,187.143,195.041
"(2, 1, 1, 1)",132.423,123.521,121.608,124.015
"(2, 2, 1, 2)",199.93,199.934,195.108,200.092
"(2, 1, 1, 2)",160.922,146.813,154.464,150.749
"(2, 2, 2, 2)",139.978,146.743,146.732,161.588
"(2, 1, 1, 0)",186.241,186.005,183.79,166.046
"(0, 2, 1, 2)",130.988,137.645,137.263,136.871
"(0, 2, 0, 1)",102.287,115.16,103.324,116.228
"(1, 2, 0, 1)",115.099,120.215,115.027,115.275
"(0, 2, 1, 1)",107.606,116.035,112.366,115.896
"(1, 1, 2, 1)",112.32,127.985,118.655,115.097
"(2, 1, 2, 2)",197.68,193.137,197.675,200.22
"(1, 1, 1, 2)",133.952,133.975,128.946,136.635
"(0, 2, 2, 2)",180.098,188.283,191.333,191.09
"(0, 1, 1, 1)",105.948,116.599,119.872,117.559
"(0, 1, 1, 2)",122.529,130.243,128.299,130.242
"(0, 0, 1, 1)",108.799,107.921,119.178,118.82
"(2, 2, 2, 1)",198.513,198.335,199.934,194.984
"(2, 0, 2, 1)",194.054,179.572,194.117,194.21
"(1, 2, 2, 2)",125.002,124.935,124.93,125.246
"(2, 2, 1, 1)",140.339,137.244,140.944,141.062
"(1, 2, 1, 1)",120.614,128.686,116.628,116.479
"(1, 2, 1, 2)",125.607,124.109,126.008,129.066
"(2, 2, 0, 0)",179.326,182.895,164.402,172.572
"(1, 2, 1, 0)",133.061,137.87,132.384,131.034
"(2, 0, 1, 0)",137.348,128.312,128.587,117.237
"(2, 1, 2, 1)",140.814,139.276,139.651,139.111
"(0, 1, 2, 2)",127.806,131.541,135.942,134.91
"(0, 0, 2, 2)",124.962,121.669,131.824,136.851
"(2, 2, 2, 0)",198.493,198.084,200.144,180.073
"(2, 2, 0, 1)",197.986,195.014,179.385,194.158
"(1, 2, 0, 0)",117.214,120.887,111.656,110.502
"(0, 2, 0, 0)",160.575,199.199,159.05,137.08
"(0, 2, 2, 1)",180.105,199.648,199.911,195.005
"(1, 0, 2, 2)",148.607,151.847,154.47,153.065
"(0, 0, 1, 2)",114.615,112.834,133.567,127.236
"(2, 0, 1, 2)",200.024,178.189,190.887,193.898
"(1, 1, 1, 0)",112.019,111.112,113.961,107.826
"(1, 0, 2, 1)",118.217,115.939,125.842,121.72
"(2, 1, 0, 1)",193.781,194.883,172.167,194.641
"(1, 1, 1, 1)",123.16,113.787,118.728,115.028
"(2, 1, 2, 0)",195.292,194.613,199.863,179.605
"(2, 2, 0, 2)",199.664,198.352,179.74,198.26
"(1, 1, 2, 2)",125.446,128.502,128.365,134.388
"(2, 0, 2, 2)",199.113,180.095,198.209,200.029
"(0, 1, 0, 1)",96.289,107.097,99.105,114.048
"(2, 1, 0, 2)",193.235,191.851,178.396,198.116
"(0, 1, 0, 2)",121.406,125.929,119.322,125.685
"(0, 1, 0, 0)",75.042,76.892,113.64,60.961
"(2, 1, 0, 0)",122.373,120.88,119.988,118.016
"(2, 0, 2, 0)",198.314,173.95,193.207,176.561
"(1, 2, 0, 2)",132.162,132.414,131.727,133.112
"(2, 2, 1, 0)",158.061,199.564,143.143,158.931
"(0, 1, 2, 1)",109.679,121.478,119.625,116.005
