Episodio,Reward,Ghosts,Points,Big Points,Steps
1,82.0,0,41.0,0,766
2,42.0,0,21.0,0,500
3,208.0,0,50.0,1,1120
4,64.0,0,32.0,0,728
5,34.0,0,17.0,0,508
6,88.0,0,44.0,0,732
7,54.0,0,27.0,0,748
8,78.0,0,39.0,0,884
9,162.0,0,77.0,1,1524
10,107.0,1,37.0,1,698
11,140.0,0,66.0,1,1462
12,96.0,0,44.0,1,1286
13,114.0,0,53.0,1,1086
14,86.0,0,43.0,0,980
15,36.0,0,18.0,0,596
16,60.0,0,26.0,1,568
17,144.0,2,33.0,1,796
18,34.0,0,17.0,0,586
19,94.0,0,43.0,1,640
20,50.0,0,25.0,0,598
21,60.0,0,30.0,0,878
22,58.0,0,29.0,0,980
23,84.0,0,38.0,1,1262
24,42.0,0,21.0,0,628
25,38.0,0,19.0,0,504
26,154.0,0,69.0,2,1378
27,46.0,0,23.0,0,900
28,54.0,0,27.0,0,642
29,46.0,0,23.0,0,572
30,58.0,0,29.0,0,776
31,42.0,0,21.0,0,582
32,66.0,0,33.0,0,816
33,36.0,0,18.0,0,506
34,124.0,0,62.0,0,1952
35,66.0,0,33.0,0,980
36,66.0,0,33.0,0,776
37,44.0,0,22.0,0,902
38,46.0,0,23.0,0,758
39,46.0,0,23.0,0,520
40,44.0,0,22.0,0,514
41,46.0,0,23.0,0,766
42,112.0,0,52.0,1,1063
43,70.0,0,35.0,0,828
44,56.0,0,28.0,0,740
45,72.0,0,32.0,1,766
46,62.0,0,31.0,0,660
47,88.0,0,44.0,0,828
48,76.0,0,34.0,1,1026
49,86.0,0,43.0,0,936
50,58.0,0,29.0,0,656
51,98.0,0,45.0,1,998
52,40.0,0,20.0,0,570
53,66.0,0,33.0,0,582
54,78.0,0,35.0,1,666
55,153.0,1,56.0,2,1900
56,64.0,0,28.0,1,706
57,62.0,0,27.0,1,639
58,26.0,0,13.0,0,398
59,52.0,0,26.0,0,558
60,114.0,0,53.0,1,1008
61,94.0,0,47.0,0,742
62,46.0,0,23.0,0,848
63,136.0,0,60.0,2,1310
64,48.0,0,24.0,0,576
65,68.0,0,34.0,0,848
66,82.0,0,37.0,1,1238
67,126.0,0,59.0,1,1166
68,84.0,0,38.0,1,904
69,82.0,0,41.0,0,728
70,62.0,0,31.0,0,804
71,86.0,0,39.0,1,870
72,34.0,0,17.0,0,488
73,94.0,0,47.0,0,1084
74,124.0,0,54.0,2,1530
75,64.0,0,32.0,0,654
76,84.0,0,38.0,1,1406
77,70.0,0,35.0,0,984
78,52.0,0,26.0,0,732
79,70.0,0,31.0,1,661
80,78.0,0,39.0,0,694
81,80.0,0,40.0,0,852
82,80.0,0,36.0,1,928
83,78.0,0,39.0,0,744
84,52.0,0,26.0,0,612
85,66.0,0,33.0,0,654
86,80.0,0,36.0,1,1186
87,82.0,0,37.0,1,1015
88,58.0,0,29.0,0,578
89,64.0,0,32.0,0,804
90,50.0,0,25.0,0,800
91,78.0,0,39.0,0,718
92,174.0,0,37.0,0,916
93,40.0,0,20.0,0,508
94,164.0,0,74.0,2,1634
95,68.0,0,30.0,1,1106
96,28.0,0,14.0,0,536
97,70.0,0,35.0,0,606
98,92.0,0,46.0,0,926
99,38.0,0,19.0,0,558
100,58.0,0,29.0,0,678
